1	1	50	1、行车揭示全员确认，按规定勾画。2、验好IC卡，确认揭示及数据准确。3、遇有计划路票、绿证等非正常行车要进行模拟开车。4、按规定项点填写司机手帐，打印出勤预想。
1	1	70	执行六确认：监控数据、换向手柄、上下行开关、出站信号、机车信号、绿/绿黄灯确认，逐项确认正确。
1	2	80	出站四不动:联控不清不动车，出站不好不动车，方向不对不动车，发车不明不动车。
1	2	160	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常
1	2	250	注意鸣笛。越过距离255米：车次修正值3米。
1	3	80	出站四不动:联控不清不动车，出站不好不动车，方向不对不动车，发车不明不动车。
1	3	160	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常
1	3	250	注意鸣笛。越过距离255米：车次修正值3米。
1	4	80	出站四不动:联控不清不动车，出站不好不动车，方向不对不动车，发车不明不动车。
1	4	160	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常
1	4	250	注意鸣笛。越过距离255米：车次修正值3米。
1	5	80	出站四不动:联控不清不动车，出站不好不动车，方向不对不动车，发车不明不动车。
1	5	160	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常
1	5	250	注意鸣笛。越过距离255米：车次修正值3米。
1	6	80	出站四不动:联控不清不动车，出站不好不动车，方向不对不动车，发车不明不动车。
1	6	130	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常
1	6	190	注意鸣笛。越过距离255米：车次修正值3米。
2	1	140	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	1	280	注意鸣笛。越过距离255米：车次修正值3米。
2	2	40	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	2	80	注意鸣笛。越过距离255米：车次修正值3米。
2	2	140	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	2	260	注意鸣笛。越过距离255米：车次修正值3米。
2	3	40	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	3	120	注意鸣笛。越过距离255米：车次修正值3米。
2	3	190	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	4	80	注意鸣笛。越过距离255米：车次修正值3米。
2	4	140	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	4	180	注意鸣笛。越过距离255米：车次修正值3米。
2	4	240	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	5	80	注意鸣笛。越过距离255米：车次修正值3米。
2	5	140	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
2	5	280	注意鸣笛。越过距离255米：车次修正值3米。
2	6	140	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	1	110	注意鸣笛。越过距离255米：车次修正值3米。
3	1	190	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	1	280	注意鸣笛。越过距离255米：车次修正值3米。
3	2	140	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	2	220	注意鸣笛。越过距离255米：车次修正值3米。
3	2	270	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	3	140	注意鸣笛。越过距离255米：车次修正值3米。
3	3	190	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	3	280	注意鸣笛。越过距离255米：车次修正值3米。
3	4	80	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	4	110	注意鸣笛。越过距离255米：车次修正值3米。
3	4	180	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	4	250	注意鸣笛。越过距离255米：车次修正值3米。
3	5	90	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	5	180	注意鸣笛。越过距离255米：车次修正值3米。
3	5	250	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	6	40	注意鸣笛。越过距离255米：车次修正值3米。
3	6	80	确认仪表:制动缸压力0千帕，制动主管压力600千帕。控制电压110千伏，其他仪表显示正常。
3	6	120	注意鸣笛。越过距离255米：车次修正值3米。